label,x,y,z,intensity
sweet,-4.9418452489267555,-6.566452682676229,-4.787123112919874,0.7843660116195679
sweet,3.5224677166048197,3.75812055212581,-8.017442616453682,0.8375598192214966
sweet,2.5100739542563857,3.4966416062884553,-7.073522143520256,0.5727168917655945
sweet,12.993735209420391,-0.39111292557920757,-8.064481601217341,0.7524242997169495
sweet,-2.2602676151803207,8.922180262402701,-1.2436475885734124,0.8444309830665588
sweet,6.764291168855099,-1.55750961046042,-4.763137067789134,0.7411647439002991
sweet,-1.7048396294752224,8.125341584593878,-12.8121848501724,0.9373856782913208
sweet,-9.036734488157437,4.173669818154913,-9.458780213364578,0.9709745049476624
sweet,-6.892528770012326,8.107902062571846,6.5706173293368915,0.5219082832336426
sweet,-5.436241804254314,-1.1219526589240845,1.4765722843206182,0.6715472936630249
sweet,-4.954867366985872,1.9931750251857503,3.9959964897435727,0.5930579900741577
sweet,-6.236575340444454,1.4206742599813453,9.044526946317085,0.5693328976631165
sweet,-4.1200800934637565,1.7412929933698895,8.770865134254526,0.5289798974990845
sweet,-4.053389891044181,0.2519752016203672,6.0391332841331655,0.8264437317848206
sweet,-9.11126070739985,-1.3715751650778734,-4.911422946859779,0.8395801782608032
sweet,-4.131895984830552,-1.2134725040866434,4.218889874816897,0.8518844842910767
sweet,-7.607234490319837,-4.577869910932758,4.07929625787292,0.5232324004173279
sweet,-8.349134092713232,-1.7650053813559,6.426367758744518,0.6088879704475403
sweet,-7.565874238912869,0.16418917283457782,7.798149352093115,0.6101605892181396
sweet,-4.472050716881823,-11.591319787562199,1.97125233263318,0.7433860898017883
sweet,-12.005310974056545,-0.25792522124374095,-4.846694402240719,0.8712838888168335
sweet,-13.1014827964766,7.481115580601518,-3.1464379853118367,0.9079154133796692
sweet,-10.855090625786568,9.980245759620558,-3.6247090637283095,0.9196810126304626
sweet,-1.4699593006850056,10.133137156100453,-0.00939668652760488,0.8798136711120605
sweet,-5.849864372426609,7.304551447154634,-0.9706371601283478,0.615074098110199
sweet,0.7086520362489721,7.720181733041957,6.855378544244809,0.7732280492782593
sweet,1.3773102826984438,9.376632638962718,3.076554889623987,0.5952224731445312
sweet,1.3773102826984438,9.376632638962718,3.076554889623987,0.5952224731445312
sweet,-6.4658166843729825,3.712259433041554,-4.3746409093737935,0.8046019673347473
sweet,-4.185433079142553,11.368346340090657,-5.355995824598555,0.9472445249557496
sweet,-6.099984790997569,5.292031182930236,-11.094658285726739,0.9621106386184692
sweet,-9.273279673323213,2.523973501338005,-10.11911347332669,0.9644525647163392
sweet,-6.2431738241942325,7.813129935393671,-7.90564500560075,0.9516242742538452
sweet,1.9134934357053615,3.5403313337697973,-11.55794462658816,0.795605480670929
sweet,-7.810374860937929,0.2433603544752789,-7.77687551359007,0.9510051608085632
sweet,-2.3562820733283036,7.546712641715192,-6.173048074722563,0.8880091905593872
sweet,-7.673534667528039,-4.782196381686955,-4.017028726739935,0.8367002606391907
sweet,-3.286154117792959,5.299164507002795,-3.052666461578585,0.8318421244621277
sweet,-7.3521525986763825,-2.4523357011290967,-2.590319218455136,0.7898684144020081
sweet,-2.150236402237545,8.110703702297531,-3.8575997827275286,0.8105980157852173
sweet,-14.189769421404568,6.309235572482845,-3.8919112679354027,0.848913311958313
sweet,-1.5829345362461642,6.035376792018795,0.5177858114415608,0.7646577954292297
sweet,12.993735209420391,-0.39111292557920757,-8.064481601217341,0.7524242997169495
